date,exp,family,mean_ic,ic_std,sharpe,hit_rate,mean_ic_last104,n_moons,by_fold,config
2026-07-28,exp_ridge,walk_forward,0.03291,0.02641,1.246,0.897,0.03624,312,"{""wf1"": 0.035713032829048384, ""wf2"": 0.02895765278497682, ""wf3"": 0.03123163914758187, ""wf4"": 0.029089317993125217, ""wf5"": 0.04514707424536606, ""wf6"": 0.027328232638601648}","{""model"": ""ridge"", ""best_alpha"": 1000000.0, ""fit"": ""streaming Gram""}"
2026-07-28,exp_ridge,gap311,0.03042,0.02316,1.313,0.897,0.03077,156,"{""gap311_1"": 0.029736247561779446, ""gap311_2"": 0.03898710798025795, ""gap311_3"": 0.02254325148694044}","{""model"": ""ridge"", ""best_alpha"": 1000000.0, ""fit"": ""streaming Gram""}"
2026-07-28,exp_lgbm,walk_forward,0.04291,0.04004,1.072,0.859,0.04088,156,"{""wf4"": 0.046965846340300946, ""wf5"": 0.045856512888213144, ""wf6"": 0.03590655235850716}","{""model"": ""lgbm"", ""num_leaves"": 15, ""lambda_l2"": 50, ""n_estimators"": 800, ""stride"": 4, ""max_bin"": 7}"
2026-07-28,exp_lgbm,gap311,0.02665,0.03351,0.795,0.788,0.02665,104,"{""gap311_2"": 0.028772424139138705, ""gap311_3"": 0.0245350525840803}","{""model"": ""lgbm"", ""num_leaves"": 15, ""lambda_l2"": 50, ""n_estimators"": 800, ""stride"": 4, ""max_bin"": 7}"
2026-07-28,exp_lgbm_leaves7,walk_forward,0.04,0.04006,0.999,0.84,0.03749,156,"{""wf4"": 0.045008992930530144, ""wf5"": 0.04473207508605189, ""wf6"": 0.03024957840694435}","{""model"": ""lgbm"", ""stride"": 4, ""n_estimators"": 800, ""num_leaves"": 7, ""lambda_l2"": 50.0, ""max_bin"": 7, ""feature_fraction"": 0.15}"
2026-07-28,exp_lgbm_leaves7,gap311,0.02605,0.03328,0.783,0.76,0.02605,104,"{""gap311_2"": 0.03196864657688207, ""gap311_3"": 0.020126127577936078}","{""model"": ""lgbm"", ""stride"": 4, ""n_estimators"": 800, ""num_leaves"": 7, ""lambda_l2"": 50.0, ""max_bin"": 7, ""feature_fraction"": 0.15}"
2026-07-28,exp_lgbm_rankpred,walk_forward,0.02624,0.02983,0.88,0.814,0.02285,156,"{""wf4"": 0.033025046664485455, ""wf5"": 0.026590712336463672, ""wf6"": 0.019100624339699192}","{""model"": ""lgbm"", ""stride"": 4, ""n_estimators"": 800, ""num_leaves"": 15, ""lambda_l2"": 50.0, ""max_bin"": 7, ""feature_fraction"": 0.15, ""rank_pred"": true}"
2026-07-28,exp_lgbm_rankpred,gap311,0.02033,0.02623,0.775,0.827,0.02033,104,"{""gap311_2"": 0.01954221196235794, ""gap311_3"": 0.021122640666780663}","{""model"": ""lgbm"", ""stride"": 4, ""n_estimators"": 800, ""num_leaves"": 15, ""lambda_l2"": 50.0, ""max_bin"": 7, ""feature_fraction"": 0.15, ""rank_pred"": true}"
2026-07-29,exp_twostage,walk_forward,0.04788,0.0416,1.151,0.865,0.04515,156,"{""wf4"": 0.05334102808426352, ""wf5"": 0.04980279983848168, ""wf6"": 0.04050708963929982}","{""model"": ""twostage"", ""stride"": 4, ""clf_estimators"": 500, ""reg_estimators"": 500, ""max_bin"": 7}"
2026-07-29,exp_twostage,gap311,0.03747,0.03588,1.044,0.865,0.03747,104,"{""gap311_2"": 0.03661545334618381, ""gap311_3"": 0.038321694727594335}","{""model"": ""twostage"", ""stride"": 4, ""clf_estimators"": 500, ""reg_estimators"": 500, ""max_bin"": 7}"
2026-07-29,exp_twostage,walk_forward,0.04788,0.0416,1.151,0.865,0.04515,156,"{""wf4"": 0.05334102808426352, ""wf5"": 0.04980279983848168, ""wf6"": 0.04050708963929982}","{""model"": ""twostage"", ""stride"": 4, ""clf_estimators"": 500, ""reg_estimators"": 500, ""max_bin"": 7}"
2026-07-29,exp_twostage,gap311,0.03747,0.03588,1.044,0.865,0.03747,104,"{""gap311_2"": 0.03661545334618381, ""gap311_3"": 0.038321694727594335}","{""model"": ""twostage"", ""stride"": 4, ""clf_estimators"": 500, ""reg_estimators"": 500, ""max_bin"": 7}"
2026-08-03,exp_mlp_ic,walk_forward,0.03328,0.03736,0.891,0.801,0.03633,156,"{""wf4"": 0.027158803619322488, ""wf5"": 0.03488442119837792, ""wf6"": 0.03778531456556357}","{""model"": ""mlp_ic"", ""stride"": 4, ""hidden"": [256, 128, 64], ""dropout"": 0.3, ""weight_decay"": 0.001, ""epochs_max"": 60, ""patience"": 8}"
2026-08-03,exp_mlp_ic,gap311,0.01546,0.03766,0.411,0.635,0.01546,104,"{""gap311_2"": 0.027388923811462337, ""gap311_3"": 0.0035374613071140894}","{""model"": ""mlp_ic"", ""stride"": 4, ""hidden"": [256, 128, 64], ""dropout"": 0.3, ""weight_decay"": 0.001, ""epochs_max"": 60, ""patience"": 8}"
